Brand_Reg,Count(SoldIn)
SAMSUNG,1096
KOGAN,788
LG,677
HISENSE,263
EKO,189
SYLVOX,132
JVC,122
PHILIPS,118
BLAUPUNKT,110
TCL,91
SONY,80
BAUHN,73
CAIXUN,62
EMETE,55
TOSHIBA,50
CHIQ,47
AIWA,44
LINSAR,43
AKAI,38
ENGLAON,32
SPARK ELECTRONICS,29
LOEWE,27
FFALCON,26
SKYWORTH,24
WALTON,24
TELEFUNKEN,17
ILUMA,14
POLAROID,13
SPHERE,13
DGTEC,12
HYUNDAI,12
QBELL,11
TEAC,11
SHARP,10
TECO,10
VEON,10
BELGIQUE,9
COOCAA,9
DIGITECH,9
KONKA,8
PRISM+,8
ALTIUS,6
SVISION,6
AOA,5
KODAK,5
METZ,5
MYVI,5
SMARTTECH,5
SMTV,5
FURRION,4
MONSTER,4
SHENZHEN XINCHAODA TECHNOLOGY CO. LTD,4
ZEN TV,4
AVEL INNOVATIONS,3
FPD,3
YOKOHAMA,3
DEVANTI,2
GORILLA,2
HUBBL GLASS,2
Q.BELL,2
THOMSON,2
BROOKLYN,1
DYNALINK,1
HUBBL,1
LSP TV,1
PALSONIC,1
RCA,1
S VISION,1
SHARETV,1
SIGNIFY,1
SONIQ,1
STAN CASH,1
TAVICE,1
TENET,1
VDT,1
WINTAL,1
